atco_code,name,easting,northing,longitude,latitude,stop_type
"9100HONROPK","Honor Oak Park Rail Station",535910,174145,-0.0455053719,51.4499889852,"RLY"
"9100HORLEY","Horley Rail Station",528665,142666,-0.1610535045,51.1687753177,"RLY"
"9100HORSHAM","Horsham Rail Station",517865,130980,-0.3192694202,51.0660649726,"RLY"
"9100DENHAM","Denham Rail Station",504214,187733,-0.4974367743,51.5788372482,"RLY"
"9100DENHMGC","Denham Golf Club Rail Station",502800,187900,-0.5177866018,51.5805976673,"RLY"
"9100DENMRKH","Denmark Hill Rail Station",532810,176090,-0.0893608031,51.4682026711,"RLY"
"9100DEPDENE","Dorking Deepdene Rail Station",517051,150180,-0.3246431075,51.2388041881,"RLY"
"9100DEPTFD","Deptford Rail Station",537160,177390,-0.0262701306,51.4788480269,"RLY"
"9100FRIMLEY","Frimley Rail Station",487430,157717,-0.7469912755,51.3118619741,"RLY"
"9100FRNCMB","Farncombe Rail Station",497600,145140,-0.6045487957,51.197153846,"RLY"
"9100FRNDNLT","Farringdon Rail Station",531560,181840,-0.1052045888,51.520167092,"RLY"
"9100FRNNGRD","Farningham Road Rail Station",555595,169330,0.23545215271,51.4016655794,"RLY"
"9100FRSTGT","Forest Gate Rail Station",540458,185335,0.02435290267,51.5494319412,"RLY"
"9100FARNHAM","Farnham Rail Station",484446,146548,-0.7924271053,51.211904643,"RLY"
"9100BRNHRST","Barnehurst Rail Station",550115,176210,0.15964630799,51.4649591293,"RLY"
"9100WHHRTLA","White Hart Lane Rail Station",533690,191340,-0.0709135382,51.6050370668,"RLY"
"9100HBROOMS","High Brooms Rail Station",559378,141370,0.27733229635,51.1494049627,"RLY"
"9100BCWD","Bricket Wood Rail Station",513482,202017,-0.3591149619,51.7054278911,"RLY"
"9100BLCHSRD","Blackhorse Road Rail Station",535800,189345,-0.0412356603,51.5866054825,"RLY"
"9100BOOKHAM","Bookham Rail Station",512784,155640,-0.3840206064,51.2887386585,"RLY"
"9100WRPLSDN","Worplesdon Rail Station",498938,155385,-0.5825781322,51.2890174523,"RLY"
"9100WRUISLP","West Ruislip Rail Station",508370,186810,-0.4377676762,51.5697584751,"RLY"
"9100WRYSBRY","Wraysbury Rail Station",501400,174200,-0.5419218236,51.45770837,"RLY"
"9100WSORAER","Windsor & Eton Riverside Rail Station",496852,177220,-0.6065339834,51.4856501481,"RLY"
"9100WSUTTON","West Sutton Rail Station",525045,164505,-0.2051732707,51.3658538616,"RLY"
"9100TRING","Tring Rail Station",495087,212241,-0.6224393254,51.8007411646,"RLY"
"9100TTNHMHL","Tottenham Hale Rail Station",534500,189500,-0.0599291043,51.5883098428,"RLY"
"9100TULSEH","Tulse Hill Rail Station",531800,172910,-0.1050766864,51.4398611711,"RLY"
"9100TUNWELL","Tunbridge Wells Rail Station",558428,139207,0.26281039988,51.1302339443,"RLY"
"9100TURKYST","Turkey Street Rail Station",535130,198900,-0.0472165555,51.6726280832,"RLY"
"9100TWCKNHM","Twickenham Rail Station",516115,173660,-0.330393744,51.4500311694,"RLY"
"9100EYNSFD","Eynsford Rail Station",553565,164934,0.20439321559,51.3627203522,"RLY"
"9100FALCNWD","Falconwood Rail Station",544553,175403,0.07930456484,51.4591544731,"RLY"
"9100COWDEN","Cowden Rail Station",547658,141714,0.11003281206,51.1556372421,"RLY"
"9100CRAWLEY","Crawley Rail Station",527029,136332,-0.1866728564,51.1122138025,"RLY"
"9100ABWD","Abbey Wood (London) Rail Station",547374,179035,0.12139411536,51.4910624683,"RLY"
"9100ASFDMSX","Ashford (Surrey) Rail Station",506580,171947,-0.4680709159,51.4365071971,"RLY"
"9100KLBRNHR","Kilburn High Road Rail Station",525475,183590,-0.1922374197,51.5372774699,"RLY"
"9100KLGL","Kings Langley Rail Station",508000,202000,-0.4384218704,51.7063558766,"RLY"
"9100THTH","Thornton Heath Rail Station",532250,168350,-0.1003058662,51.3987773188,"RLY"
"9100CRLN","Charlton Rail Station",541130,178385,0.03125757663,51.4868132882,"RLY"
"9100CHESHNT","Cheshunt Rail Station",536647,202307,-0.0239596411,51.7028761888,"RLY"
"9100CHINGFD","Chingford Rail Station",539200,194610,0.00989712465,51.633086672,"RLY"
"9100CHISWCK","Chiswick Rail Station",520380,177220,-0.2678351279,51.4811366163,"RLY"
"9100CHLFNAL","Chalfont & Latimer Rail Station",499647,197573,-0.5605263164,51.6681084369,"RLY"
"9100CHLMSFD","Chelmsford Rail Station",570552,207068,0.46857219674,51.7363726521,"RLY"
"9100CHLSFLD","Chelsfield Rail Station",546950,164020,0.10906990391,51.3562559371,"RLY"
"9100CHLWTH","Chilworth Rail Station",503130,147257,-0.5248240567,51.2152131687,"RLY"
"9100CLPHMJ1","Clapham Junction Rail Station",527205,175500,-0.1702213991,51.4641869002,"RLY"
"9100CLPHMJ2","Clapham Junction Rail Station",527200,175500,-0.1702933367,51.4641880229,"RLY"
"9100CLPHMJC","Clapham Junction Rail Station",527201,175500,-0.1702789492,51.4641877984,"RLY"
"9100FAYGATE","Faygate Rail Station",521728,134388,-0.2630185925,51.0958906382,"RLY"
"9100FELTHAM","Feltham Rail Station",510600,173300,-0.409838162,51.4478983778,"RLY"
"9100AMERSHM","Amersham Rail Station",496379,198188,-0.607596056,51.6742057989,"RLY"
"9100WHMDSTD","West Hampstead Rail Station",525520,184725,-0.1911845184,51.547467624,"RLY"
"9100WHMPSTM","West Hampstead Thameslink Rail Station",525472,184836,-0.1918368395,51.5484758356,"RLY"
