name,atco_code,easting,northing,longitude,latitude,stop_type
Abbey Road DLR Station,9400ZZDLABR,539082,183349,0.003736679,51.53192649,MET
Abbey Wood (London) Rail Station,9100ABWD,547374,179035,0.121394115,51.49106247,RLY
Acton Central Rail Station,9100ACTNCTL,520645,180295,-0.262970615,51.50871628,RLY
Acton Main Line Rail Station,9100ACTONML,520360,181230,-0.266756362,51.51718015,RLY
Acton Town Underground Station,9400ZZLUACT,519446,179637,-0.280461707,51.50305703,MET
Addington Village Tram Stop,9400ZZCRADV,537080,163744,-0.032693722,51.35624073,MET
Addiscombe Tram Stop,9400ZZCRADD,534188,166290,-0.073241922,51.37981035,MET
Addlestone Rail Station,9100ADLESTN,505587,164866,-0.484456717,51.37304566,RLY
Albany Park Rail Station,9100ALBNYPK,547855,172860,0.125737156,51.43545266,RLY
Aldershot Rail Station,9100ALDRSHT,486656,150424,-0.759859799,51.24641838,RLY
Aldgate East Underground Station,9400ZZLUADE,533852,181329,-0.07238358,51.51503708,MET
Aldgate Underground Station,9400ZZLUALD,533625,181235,-0.075688607,51.51424605,MET
Alexandra Palace Rail Station,9100ALEXNDP,530295,190460,-0.120235139,51.597924,RLY
All Saints DLR Station,9400ZZDLALL,537975,180990,-0.013135345,51.51099984,MET
Alperton Underground Station,9400ZZLUALP,518020,183784,-0.299609518,51.54062735,MET
Amersham Rail Station,9100AMERSHM,496379,198188,-0.607596056,51.6742058,RLY
Amersham Underground Station,9400ZZLUAMS,496371,198179,-0.607714193,51.67412627,MET
Ampere Way Tram Stop,9400ZZCRAMP,530673,166476,-0.12365108,51.38230116,MET
Anerley Rail Station,9100ANERLEY,534605,169900,-0.06588584,51.41215299,RLY
Angel Road Rail Station,9100ANGELRD,535200,192200,-0.048791341,51.61240493,RLY
Angel Underground Station,9400ZZLUAGL,531476,183224,-0.105898498,51.53262396,MET
Apsley Rail Station,9100APSLEY,506245,204874,-0.462934733,51.73252176,RLY
Archway Underground Station,9400ZZLUACY,529377,186826,-0.134819061,51.56547821,MET
Arena Tram Stop,9400ZZCRARA,535190,167620,-0.058347195,51.39152484,MET
Arnos Grove Underground Station,9400ZZLUASG,529354,192497,-0.133062424,51.61644622,MET
Arsenal Underground Station,9400ZZLUASL,531293,186116,-0.107457175,51.55865543,MET
Ascot Rail Station,9100ASCOT,492200,168300,-0.675833169,51.40624365,RLY
Ash Rail Station,9100ASHH,489934,150834,-0.712805387,51.24959732,RLY
Ash Vale Rail Station,9100ASHVALE,489273,153342,-0.721648509,51.27224694,RLY
Ashford (Surrey) Rail Station,9100ASFDMSX,506580,171947,-0.468070916,51.4365072,RLY
Ashtead Rail Station,9100ASHD,518040,159000,-0.307571686,51.31787379,RLY
Ashurst (Kent) Rail Station,9100ASHURST,550726,138801,0.152652203,51.1286628,RLY
Avenue Road Tram Stop,9400ZZCRAVE,535762,169335,-0.049475592,51.40680009,MET
Aylesford Rail Station,9100AYLESFD,572017,158687,0.466170684,51.30131784,RLY
Bagshot Rail Station,9100BAGSHOT,491391,163627,-0.688661911,51.36436752,RLY
Baker Street Underground Station,9400ZZLUBST,527950,182050,-0.157130363,51.52288283,MET
Balcombe Rail Station,9100BALCOMB,530670,130115,-0.136933678,51.05552166,RLY
Baldock Rail Station,9100BALDOCK,524540,234264,-0.187563674,51.99287121,RLY
Balham Rail Station,9100BALHAM,528500,173200,-0.152424416,51.44322487,RLY
Balham Underground Station,9400ZZLUBLM,528460,173206,-0.152997472,51.44328786,MET
Bank DLR Station,9400ZZDLBNK,532738,181099,-0.088514877,51.5132328,MET
Bank Underground Station,9400ZZLUBNK,532707,181119,-0.088953827,51.51341981,MET
Banstead Rail Station,9100BANSTED,524588,160432,-0.213158852,51.32934885,RLY
Barbican Rail Station,9100BRBCNLT,532100,181800,-0.097441098,51.51968172,RLY
Barbican Underground Station,9400ZZLUBBN,532060,181865,-0.097992938,51.52027518,MET
Barking Rail Station,9100BARKING,544410,184340,0.080902514,51.53949472,RLY
Barking Underground Station,9400ZZLUBKG,544421,184321,0.081053225,51.53932118,MET
Barkingside Underground Station,9400ZZLUBKE,544796,189492,0.0885847,51.58568867,MET
Barming Rail Station,9100BARMING,572970,156891,0.478958203,51.2848952,RLY
Barnehurst Rail Station,9100BRNHRST,550115,176210,0.159646308,51.46495913,RLY
Barnes Bridge Rail Station,9100BNSBDGE,521460,176230,-0.252630156,51.47200852,RLY
Barnes Rail Station,9100BARNES,522200,175700,-0.242164212,51.46708609,RLY
Barons Court Underground Station,9400ZZLUBSC,524133,178331,-0.213426904,51.49031092,MET
