OriginLineNaptanType,DestinationLineNaptanType,Line,OriginStopName,OriginStopAtcoCode,DestinationStopName,DestinationStopAtcoCode,LinkTime,EO?,ED?,,
MET,MET,VIC,Brixton,9400ZZLUBXN,Stockwell,9400ZZLUSKW,123,,,,
MET,MET,VIC,Stockwell,9400ZZLUSKW,Vauxhall,9400ZZLUVXL,128,,,,
MET,MET,VIC,Vauxhall,9400ZZLUVXL,Pimlico,9400ZZLUPCO,87,,,,
MET,MET,VIC,Pimlico,9400ZZLUPCO,Victoria,9400ZZLUVIC,118,,,,
MET,MET,VIC,Victoria,9400ZZLUVIC,Green Park,9400ZZLUGPK,111,,,,
MET,MET,VIC,Green Park,9400ZZLUGPK,Oxford Circus,9400ZZLUOXC,119,,,,
MET,MET,VIC,Oxford Circus,9400ZZLUOXC,Warren Street,9400ZZLUWRR,101,,,,
MET,MET,VIC,Warren Street,9400ZZLUWRR,Euston,9400ZZLUEUS,89,,,,
MET,MET,VIC,Euston,9400ZZLUEUS,King's Cross St. Pancras,9400ZZLUKSX,87,,,,
MET,MET,VIC,King's Cross St. Pancras,9400ZZLUKSX,Highbury & Islington,9400ZZLUHAI,164,,,,
MET,MET,VIC,Highbury & Islington,9400ZZLUHAI,Finsbury Park,9400ZZLUFPK,145,,,,
MET,MET,VIC,Finsbury Park,9400ZZLUFPK,Seven Sisters,9400ZZLUSVS,206,,,,
MET,MET,VIC,Seven Sisters,9400ZZLUSVS,Tottenham Hale,9400ZZLUTMH,101,,,,
MET,MET,VIC,Tottenham Hale,9400ZZLUTMH,Blackhorse Road,9400ZZLUBLR,111,,,,
MET,MET,VIC,Blackhorse Road,9400ZZLUBLR,Walthamstow Central,9400ZZLUWWL,100,,,,
MET,MET,PIC,Cockfosters,9400ZZLUCKS,Oakwood,9400ZZLUOAK,162,,,,
MET,MET,PIC,Oakwood,9400ZZLUOAK,Southgate,9400ZZLUSGT,162,,,,
MET,MET,PIC,Southgate,9400ZZLUSGT,Arnos Grove,9400ZZLUASG,245,,,,
MET,MET,PIC,Arnos Grove,9400ZZLUASG,Bounds Green,9400ZZLUBDS,141,,,,
MET,MET,PIC,Bounds Green,9400ZZLUBDS,Wood Green,9400ZZLUWOG,147,,,,
MET,MET,PIC,Wood Green,9400ZZLUWOG,Turnpike Lane,9400ZZLUTPN,107,,,,
MET,MET,PIC,Turnpike Lane,9400ZZLUTPN,Manor House,9400ZZLUMRH,195,,,,
MET,MET,PIC,Manor House,9400ZZLUMRH,Finsbury Park,9400ZZLUFPK,138,,,,
MET,MET,PIC,Finsbury Park,9400ZZLUFPK,Arsenal,9400ZZLUASL,93,,,,
MET,MET,PIC,Arsenal,9400ZZLUASL,Holloway Road,9400ZZLUHWY,95,,,,
MET,MET,PIC,Holloway Road,9400ZZLUHWY,Caledonian Road,9400ZZLUCAR,87,,,,
MET,MET,PIC,Caledonian Road,9400ZZLUCAR,King's Cross St. Pancras,9400ZZLUKSX,202,,,,
MET,MET,PIC,King's Cross St. Pancras,9400ZZLUKSX,Russell Square,9400ZZLURSQ,116,,,,
MET,MET,PIC,Russell Square,9400ZZLURSQ,Holborn,9400ZZLUHBN,108,,,,
MET,MET,PIC,Holborn,9400ZZLUHBN,Covent Garden,9400ZZLUCGN,104,,,,
MET,MET,PIC,Covent Garden,9400ZZLUCGN,Leicester Square,9400ZZLULSQ,66,,,,
